"YYYYMM","Large hydro","Coal/Lignite","Natural gas","Renewables","Nuclear"
201002,0.255383,0.831259,0.658891,,0.577312
201003,0.302969,0.816967,0.707186,,0.581995
201004,0.319321,0.784789,0.735273,,0.537476
201005,0.345482,0.753940,0.692210,,0.500707
201006,0.366813,0.729672,0.655540,,0.544700
201007,0.391293,0.687835,0.603882,,0.492640
201008,0.447809,0.668356,0.604679,,0.566367
201009,0.538149,0.633275,0.571847,,0.619712
201010,0.377580,0.726009,0.650465,,0.678702
201011,0.273873,0.700676,0.554960,,0.687241
201012,0.251453,0.725041,0.604668,,0.712094
201101,0.272408,0.777648,0.586954,,0.789161
201102,0.288376,0.791729,0.558348,,0.826173
201103,0.331781,0.791813,0.606389,,0.830094
201104,0.326641,0.758522,0.641972,,0.773806
201105,0.408100,0.744567,0.604751,,0.766599
201106,0.433165,0.690460,0.592863,,0.727101
201107,0.498980,0.667965,0.583153,,0.765645
201108,0.563017,0.620740,0.566387,,0.764754
201109,0.636717,0.586564,0.556068,,0.778693
201110,0.415210,0.685802,0.611206,,0.763326
201111,0.293489,0.713521,0.584125,,0.713160
201112,0.253305,0.720059,0.567210,,0.738935
201201,0.251350,0.728086,0.522529,,0.815888
201202,0.267489,0.752935,0.485454,,0.815851
201203,0.294093,0.710962,0.503750,,0.804062
201204,0.288561,0.698429,0.521895,,0.819764
201205,0.344752,0.698602,0.480850,,0.799911
201206,0.402161,0.670603,0.442232,,0.797861
201207,0.407814,0.629436,0.419900,,0.766531
201208,0.481985,0.585249,0.388964,,0.729479
201209,0.512090,0.590512,0.346783,,0.776238
201210,0.315879,0.675516,0.404094,,0.775386
201211,0.241231,0.672017,0.338379,,0.829884
201212,0.224379,0.702113,0.332310,,0.744312
201301,0.220027,0.718645,0.306325,,0.786917
201302,0.221413,0.683299,0.254040,,0.840777
201303,0.298549,0.666768,0.280878,,0.759903
201304,0.289429,0.661054,0.355329,,0.648059
201305,0.373994,0.672167,0.295304,,0.731245
201306,0.425907,0.606166,0.224447,,0.822106
201307,0.538867,0.584027,0.220733,,0.776727
201308,0.658776,0.536964,0.207785,,0.844187
201309,0.524438,0.629326,0.232745,,0.739418
201310,0.408016,0.600474,0.222366,,0.882252
201311,0.305635,0.632353,0.234487,,0.848640
201312,0.274025,0.660664,0.246793,,0.865715
201401,0.252712,0.670029,0.247812,,0.885756
201402,0.274825,0.662896,0.250407,,0.913404
201403,0.303898,0.634619,0.234096,,0.854035
201404,0.335227,0.674136,0.249165,0.162574,0.819645
201405,0.387857,0.651968,0.217451,0.169075,0.775256
201406,0.425496,0.648404,0.234515,0.288170,0.770752
201407,0.447871,0.623454,0.192571,0.340036,0.824133
201408,0.565873,0.576875,0.214914,0.304038,0.811999
201409,0.549131,0.570530,0.197698,0.249108,0.800639
201410,0.365065,0.633248,0.217174,0.194818,0.795944
201411,0.260918,0.641755,0.218724,0.165513,0.815147
201412,0.232490,0.639011,0.193718,0.195142,0.878377
201501,0.231190,0.628261,0.183738,0.188906,0.746677
201502,0.248539,0.639360,0.177609,0.214915,0.901348
201503,0.281541,0.576786,0.184007,0.174294,0.889497
201504,0.314298,0.590856,0.195503,0.176735,0.842488
201505,0.415012,0.613479,0.188972,0.193208,0.803896
201506,0.413698,0.577331,0.228634,0.231922,0.828835
201507,0.483084,0.564272,0.214388,0.326950,0.702787
201508,0.569003,0.556634,0.222011,0.277468,0.659065
201509,0.403990,0.618941,0.252097,0.208897,0.674428
201510,0.285612,0.647872,0.228303,0.160463,0.668839
201511,0.222291,0.587376,0.229217,0.153708,0.689276
201512,0.199921,0.590181,0.234139,0.172273,0.686058
201601,0.194038,0.605082,0.216421,0.151524,0.710775
201602,0.204808,0.620520,0.231178,0.184827,0.745454
201603,0.219446,0.590018,0.252231,0.165263,0.834291
201604,0.253634,0.626762,0.236492,0.164624,0.789434
201605,0.336856,0.589234,0.237002,0.212853,0.685672
201606,0.398559,0.578271,0.230626,0.254882,0.688886
201607,0.472682,0.513878,0.219686,0.286884,0.757655
201608,0.552657,0.493796,0.238150,0.290799,0.825473
201609,0.453739,0.558902,0.254079,0.250436,0.743841
201610,0.333196,0.582434,0.226988,0.183665,0.733634
201611,0.214689,0.586493,0.218994,0.152143,0.777389
201612,0.194970,0.583726,0.206736,0.146797,0.665078
201701,0.196200,0.590227,0.176273,0.156112,0.707580
201702,0.225688,0.598398,0.213886,0.171211,0.735302
201703,0.239111,0.602666,0.221150,0.139517,0.749070
201704,0.317211,0.612323,0.211800,0.167780,0.656568
201705,0.374278,0.601180,0.228836,0.193561,0.556654
201706,0.425463,0.543268,0.232610,0.243629,0.624035
201707,0.465592,0.513684,0.226048,0.298138,0.603094
201708,0.468321,0.554590,0.214440,0.250234,0.453528
201709,0.437511,0.575979,0.256572,0.173389,0.547249
201710,0.335760,0.575530,0.275030,0.147024,0.619138
201711,0.227474,0.574759,0.245869,0.159166,0.739460
201712,0.206215,0.549168,0.214366,0.173706,0.539280
201801,0.197645,0.582637,0.205977,0.158237,0.803044
201802,0.188038,0.585376,0.204007,0.178176,0.741486
201803,0.207716,0.599831,0.218938,0.169279,0.627244
201804,0.231724,0.597080,0.261047,0.169908,0.677327
201805,0.318378,0.603943,0.258783,0.180253,0.631812
201806,0.408044,0.560565,0.224856,0.252161,0.717904
201807,0.466550,0.515429,0.217805,0.298448,0.713864
201808,0.550021,0.527542,0.199970,0.311529,0.545477
201809,0.532080,0.571712,0.234193,0.207241,0.543211
201810,0.366700,0.613103,0.301834,0.143208,0.625206
201811,0.249253,0.577456,0.217437,0.146885,0.661521
201812,0.230327,0.566640,0.215640,0.162897,0.609045
201901,0.218098,0.565084,0.214062,0.166382,0.618539
201902,0.233383,0.565976,0.190654,0.185238,0.631890
201903,0.257198,0.586852,0.201199,0.169011,0.665293
201904,0.338742,0.600863,0.234294,0.171412,0.673410
201905,0.416888,0.607844,0.239953,0.204774,0.749814
201906,0.438820,0.598063,0.241071,0.232788,0.830060
201907,0.467103,0.553495,0.224203,0.258060,0.868753
201908,0.589998,0.509912,0.212772,0.244364,0.852904
201909,0.636047,0.510033,0.243787,0.180978,0.864518
201910,0.433322,0.493367,0.229091,0.174043,0.854908
201911,0.306568,0.515677,0.212051,0.141293,0.776866
201912,0.264289,0.542058,0.191436,0.166583,0.728857
202001,0.256537,0.573879,0.182730,0.166590,0.681438
202002,0.265223,0.600984,0.211140,0.186227,0.672384
202003,0.267348,0.513893,0.231687,0.174528,0.803738
202004,0.307610,0.419425,0.270372,0.169238,0.790739
202005,0.412531,0.476127,0.281131,0.208785,0.752835
202006,0.517144,0.494053,0.282377,0.222145,0.771208
202007,0.527125,0.525919,0.261413,0.202159,0.665802
202008,0.557348,0.487490,0.233497,0.238652,0.711836
202009,0.574117,0.550512,0.244508,0.177029,0.795223
202010,0.386563,0.554304,0.256400,0.161748,0.786851
202011,0.255799,0.531225,0.211472,0.163738,0.784782
202012,0.239448,0.573294,0.188098,0.173114,0.772124
202101,0.232387,0.613262,0.162444,0.167162,0.637251
202102,0.235608,0.631685,0.186656,0.176871,0.593662
202103,0.243600,0.662214,0.215082,0.181745,0.626693
202104,0.248435,0.663408,0.207689,0.170283,0.689061
202105,0.341832,0.539791,0.186211,0.203962,0.793003
202106,0.479980,0.545992,0.190830,0.244819,0.797304
202107,0.543385,0.571537,0.181972,0.257837,0.716285
202108,0.587011,0.595350,0.201429,0.225692,0.622461
202109,0.530484,0.545915,0.185252,0.198196,0.798294
202110,0.448911,0.556041,0.195911,0.146718,0.875720
202111,0.289820,0.533585,0.128614,0.148970,0.832233
202112,0.233092,0.583100,0.122788,0.163456,0.882442
202201,0.216644,0.600798,0.118289,0.166967,0.804211
202202,0.237759,0.642073,0.125383,0.186486,0.836536
202203,0.304469,0.677975,0.133952,0.191341,0.873571
202204,0.343070,0.717995,0.148399,0.188347,0.721319
202205,0.370550,0.675968,0.132419,0.247897,0.698750
202206,0.413437,0.680463,0.133512,0.237403,0.792236
202207,0.558435,0.589138,0.108274,0.224809,0.796327
202208,0.671441,0.582179,0.106386,0.211375,0.711051
202209,0.652688,0.603394,0.098411,0.199291,0.699058
202210,0.464150,0.552652,0.086104,0.160697,0.836438
202211,0.292908,0.611359,0.098406,0.155649,0.792705
202212,0.246460,0.646094,0.097803,0.173454,0.773460
202301,0.231324,0.665560,0.102005,0.196117,0.816546
202302,0.265489,0.688250,0.105118,0.190097,0.828408
202303,0.223016,0.675656,0.100842,0.184331,0.802445
202304,0.258773,0.715473,0.136414,0.184259,0.719528
202305,0.328738,0.689539,0.153217,0.219617,0.693039
202306,0.424944,0.694007,0.169486,0.242146,0.595986
202307,0.514236,0.638390,0.120170,0.233607,0.710592
202308,0.630005,0.672278,0.194367,0.240917,0.785270
202309,0.483893,0.688139,0.164074,0.209835,0.840346
202310,0.322478,0.718063,0.173269,0.156775,0.807447
202311,0.196165,0.663838,0.091404,0.147429,0.821541
202312,0.176702,0.649348,0.102723,0.168335,0.768503
202401,0.181938,0.719223,0.136522,0.159792,0.746133
202402,0.181500,0.706142,0.133417,0.189354,0.672635
202403,0.200939,0.717919,0.135503,0.180445,0.660531
202404,0.239999,0.765721,0.208199,0.178691,0.754484
202405,0.360750,0.757979,0.279660,0.206230,0.730711
202406,0.419485,0.742049,0.258117,0.216208,0.716111
202407,0.503025,0.671722,0.144252,0.232260,0.788679
202408,0.617676,0.628097,0.136407,0.199914,0.902422
202409,0.608917,0.635945,0.139562,0.201292,0.836464
202410,0.413683,0.690239,0.126212,0.152281,0.783599
202411,0.255223,0.655985,0.080226,0.146773,0.816655
202412,0.221880,0.654403,0.086630,0.163576,0.842058
202501,0.211423,0.686422,0.081609,0.172359,0.785158
202502,0.220859,0.729520,0.098015,0.179179,0.755570
202503,0.246785,0.732454,0.097838,0.188248,0.775408
202504,0.278720,0.733742,0.220452,0.188500,0.783259
202505,0.371989,0.682121,0.185755,,0.786410
202506,0.471854,0.665223,0.193795,,0.711530
