"Year","GEO production Eora 199.082 (2023)","GEO production GCB 2023v26","GEO consumption Eora 199.082 (2023)","GEO consumption GCB 2023v26"
1970,20.600000,,15.735960,
1971,21.600000,,13.498570,
1972,23,,10.626550,
1973,23.600000,,9.101690,
1974,24.200000,,11.771000,
1975,25.800000,,18.447220,
1976,26.400000,,22.036430,
1977,26.800000,,27.417740,
1978,27.900000,,27.533430,
1979,28.700000,,30.234050,
1980,29,,31.174800,
1981,29.700000,,32.114990,
1982,30.100000,,32.656060,
1983,30.600000,,32.238680,
1984,31.500000,,30.847210,
1985,33.100000,,40.728040,
1986,32.600000,,6.762918,
1987,34.900000,,3.169669,
1988,36,,35.129670,
1989,35.700000,,49.152970,
1990,35.300000,15.948386,47.074820,9.896564
1991,28.100000,15.872158,36.016920,11.349839
1992,17.300000,15.276915,26.843520,9.416395
1993,9.960000,9.915700,4.419091,8.071252
1994,6.370000,6.067844,7.525025,4.919100
1995,4.320000,2.290286,5.807861,2.277247
1996,7.120000,4.053812,8.352072,7.788693
1997,7.820000,4.426263,9.604524,6.945568
1998,6.450000,4.939172,8.116208,7.522030
1999,5.200000,4.310981,6.645139,6.103572
2000,3.910000,4.500388,5.569421,6.126291
2001,4.080000,3.724984,5.613250,5.761597
2002,3.880000,3.348291,5.440396,5.366444
2003,4.130000,3.731537,5.740383,5.822119
2004,5.040000,4.271842,6.847130,7.429763
2005,5.240000,5.013924,7.419522,8.777568
2006,6.430000,6.093048,9.375304,8.966240
2007,7.360000,6.361687,10.292960,10.138121
2008,7.250000,5.308807,10.785120,9.254534
2009,6.750000,6.135626,9.469736,7.546887
2010,6.820000,6.208043,9.606713,7.912669
2011,9.340000,7.804526,12.066320,10.063344
2012,9.970000,8.254475,12.685130,10.862085
2013,9.400000,8.012546,11.853430,10.411787
2014,10.700000,8.938688,12.747780,11.255113
2015,9.170000,9.756186,11.758110,11.715012
2016,9.570000,10.067680,10.467940,11.587537
2017,9.750000,10.172526,10.105610,11.250642
2018,11.541670,10.062534,12.807660,12.468518
2019,12.347160,10.886591,13.097100,11.971360
2020,13.208460,10.574546,13.836940,12.875537
2021,14.456230,11.048193,14.269180,13.773088
2022,14.702320,,13.951060,
