"Year","NOR production EXIOBASE 3.8.2","NOR production WIOD2016","NOR production OECDv2","NOR production Eora 199.082","NOR production FIGARO April 2022","NOR production GCB 2023v26","NOR production Eurostat NAMEA","NOR production SSB (official)","NOR consumption EXIOBASE 3.8.2","NOR consumption WIOD2016","NOR consumption OECDv2","NOR consumption Eora 199.082","NOR consumption FIGARO April 2022","NOR consumption GCB 2023v26","NOR net_trade EXIOBASE 3.8.2","NOR net_trade WIOD2016","NOR net_trade OECDv2","NOR net_trade Eora 199.082","NOR net_trade FIGARO April 2022","NOR net_trade GCB 2023v26"
1990,,,,37.320000,,35.015000,,49.562000,,,,45.397794,,,,,,8.077794,,
1991,,,,34.720000,,33.467000,,46.400000,,,,44.218997,,,,,,9.498997,,
1992,,,,37.410000,,34.397000,,45.899000,,,,49.485748,,,,,,12.075748,,
1993,,,,39.500000,,35.945000,,46.262000,,,,59.997461,,,,,,20.497461,,
1994,,,,41.530000,,37.860000,,48.750000,,,,59.657279,,,,,,18.127279,,
1995,58.590398,,32.844038,41.720000,,38.467000,,49.565000,68.076842,,36.364050,49.731564,,,9.486444,,3.520012,8.011564,,
1996,60.155777,,33.532553,42.080000,,41.533000,,56.117000,62.880986,,41.357101,71.186051,,,2.725209,,7.824549,29.106051,,
1997,62.584704,,35.196049,44.460000,,41.639000,,57.753000,63.360836,,41.065686,52.848845,,,0.776132,,5.869637,8.388845,,
1998,64.926349,,37.061072,46.150000,,41.828000,,56.454000,68.759214,,45.646619,52.121816,,,3.832865,,8.585547,5.971816,,
1999,67.766592,,38.332379,47.760000,,42.597000,,55.292000,64.610400,,50.744118,51.079875,,,-3.156192,,12.411739,3.319875,,
2000,61.752566,62.488515,33.637941,42.840000,,42.117000,,57.224000,59.943974,43.468233,44.797593,48.346071,,,-1.808593,-19.020282,11.159651,5.506071,,
2001,60.870004,62.708893,34.862567,43.330000,,43.503000,,60.886000,60.545451,45.058653,52.026465,48.280469,,,-0.324553,-17.650240,17.163898,4.950469,,
2002,60.607739,61.919836,34.349442,42.710000,,42.564000,,56.694000,64.874809,45.317743,49.837622,50.098019,,,4.267070,-16.602093,15.488179,7.388019,,
2003,60.463600,64.125601,37.245734,45.490000,,43.915000,,55.509000,63.478629,47.386929,54.308922,56.189912,,42.274597,3.015028,-16.738672,17.063188,10.699912,,-1.640403
2004,60.518414,65.135341,37.833851,45.900000,,44.252000,,58.253000,68.431498,49.931743,53.820149,57.678657,,44.959065,7.913085,-15.203598,15.986298,11.778657,,0.707065
2005,59.608735,66.724049,36.588863,44.160000,,43.280000,,56.051000,69.963279,54.410990,53.273994,58.553699,,44.136825,10.354545,-12.313059,16.685131,14.393699,,0.856825
2006,61.787671,67.471630,37.592902,44.770000,,43.864000,,63.785000,73.050189,57.685933,54.932790,58.880294,,49.755644,11.262518,-9.785697,17.339888,14.110294,,5.891644
2007,63.452343,68.253373,38.205759,45.780000,,45.618000,,61.673000,78.199513,61.445596,56.161252,64.499620,,54.900060,14.747170,-6.807777,17.955493,18.719620,,9.282060
2008,61.634427,58.911713,37.808951,46.170000,,44.708000,54.936889,54.851000,74.244279,57.775090,57.070080,64.962142,,50.947939,12.609853,-1.136623,19.261129,18.792142,,6.239939
2009,58.768712,55.993811,37.299325,44.730000,,43.116000,52.005913,51.897000,67.920196,54.621357,51.222520,59.764547,,51.466208,9.151484,-1.372454,13.923195,15.034547,,8.350208
2010,63.102199,60.240000,39.545491,46.730000,56.364519,45.662000,55.385549,55.349000,73.494878,62.069238,58.149116,64.916306,69.090738,55.389878,10.392679,1.829238,18.603625,18.186306,12.726219,9.727878
2011,61.982610,55.965509,38.104113,45.330000,61.139493,44.790000,59.971195,59.955000,75.963924,60.622240,58.928236,65.698931,69.510122,51.186399,13.981313,4.656730,20.824124,20.368931,8.370629,6.396399
2012,58.944697,55.200982,,44.660000,60.745444,44.270000,59.577730,59.526000,69.663151,57.403011,,65.563425,66.378195,48.222729,10.718455,2.202029,,20.903425,5.632751,3.952729
2013,58.883990,52.770061,,43.980000,60.685939,44.551000,59.790969,59.754000,75.082024,59.988792,,66.813962,68.982822,48.884486,16.198035,7.218731,,22.833962,8.296883,4.333486
2014,59.982681,51.116224,,44.440000,59.515766,44.981000,59.233496,59.164000,71.191101,57.528442,,65.488447,66.924653,48.481714,11.208420,6.412218,,21.048447,7.408887,3.500714
2015,62.384010,,,45.780000,66.132840,45.522000,66.226113,66.153000,70.228077,,,64.903702,64.707146,50.440559,7.844067,,,19.123702,-1.425694,4.918559
2016,61.650951,,,45.240000,57.082281,44.681000,57.483604,57.391000,70.481038,,,61.590301,66.319931,49.385614,8.830088,,,16.350301,9.237650,4.704614
2017,66.142592,,,48.510000,58.865244,44.129000,59.572779,59.447000,68.330408,,,65.158947,66.592947,50.152402,2.187816,,,16.648947,7.727703,6.023402
2018,66.330961,,,48.653689,62.022213,44.278000,62.578914,62.464000,69.565419,,,67.265127,69.662758,49.618016,3.234458,,,18.611438,7.640545,5.340016
2019,65.486720,,,47.990776,60.430863,42.706000,62.348729,62.299000,67.766789,,,62.301676,70.984247,49.012658,2.280069,,,14.310900,10.553384,6.306658
2020,67.618606,,,47.418684,59.684323,41.173000,58.086209,56.733000,71.863765,,,65.744419,65.992708,47.005798,4.245159,,,18.325735,6.308385,5.832798
2021,66.623343,,,41.321195,,40.920000,59.799027,56.277000,74.019856,,,58.987031,,44.632670,7.396513,,,17.665836,,3.712670
2022,65.924737,,,,,,,,72.521733,,,,,,6.596995,,,,,
