"Year","CHN production EXIOBASE 3.8.2","CHN production WIOD2016","CHN production OECDv2","CHN production Eora 199.082 (2023)","CHN production FIGARO April 2022","CHN production GCB 2023v26","CHN consumption EXIOBASE 3.8.2","CHN consumption WIOD2016","CHN consumption OECDv2","CHN consumption Eora 199.082 (2023)","CHN consumption FIGARO April 2022","CHN consumption GCB 2023v26","CHN net_trade EXIOBASE 3.8.2","CHN net_trade WIOD2016","CHN net_trade OECDv2","CHN net_trade Eora 199.082 (2023)","CHN net_trade FIGARO April 2022","CHN net_trade GCB 2023v26"
1970,,,,824,,,,,,797.783500,,,,,,-26.216500,,
1971,,,,929,,,,,,898.487600,,,,,,-30.512400,,
1972,,,,986,,,,,,952.930300,,,,,,-33.069700,,
1973,,,,1020,,,,,,983.245800,,,,,,-36.754200,,
1974,,,,1040,,,,,,991.037700,,,,,,-48.962300,,
1975,,,,1200,,,,,,1145.420000,,,,,,-54.580000,,
1976,,,,1250,,,,,,1185.099000,,,,,,-64.901000,,
1977,,,,1370,,,,,,1296.387000,,,,,,-73.613000,,
1978,,,,1520,,,,,,1419.656000,,,,,,-100.344000,,
1979,,,,1560,,,,,,1434.773000,,,,,,-125.227000,,
1980,,,,1530,,,,,,1380.393000,,,,,,-149.607000,,
1981,,,,1510,,,,,,1344.468000,,,,,,-165.532000,,
1982,,,,1640,,,,,,1471.795000,,,,,,-168.205000,,
1983,,,,1730,,,,,,1569.146000,,,,,,-160.854000,,
1984,,,,1880,,,,,,1690.267000,,,,,,-189.733000,,
1985,,,,2000,,,,,,1818.429000,,,,,,-181.571000,,
1986,,,,2130,,,,,,1877.952000,,,,,,-252.048000,,
1987,,,,2280,,,,,,1930.505000,,,,,,-349.495000,,
1988,,,,2440,,,,,,2089.590000,,,,,,-350.410000,,
1989,,,,2450,,,,,,2121.721000,,,,,,-328.279000,,
1990,,,,2520,,2484.854820,,,,2036.368000,,2320.345722,,,,-483.632000,,-164.509098
1991,,,,2650,,2606.096182,,,,2240.196000,,2399.879025,,,,-409.804000,,-206.217157
1992,,,,2770,,2730.787587,,,,2334.112000,,2575.993341,,,,-435.888000,,-154.794247
1993,,,,2940,,2921.650956,,,,2435.415000,,2757.111942,,,,-504.585000,,-164.539014
1994,,,,3160,,3103.738693,,,,2456.106000,,2750.088644,,,,-703.894000,,-353.650049
1995,3240.905887,,3021.579592,3410,,3361.637235,2768.860444,,2705.034628,2671.873000,,2993.953570,-472.045444,,-316.544965,-738.127000,,-367.683664
1996,3242.839430,,3090.513531,3550,,3508.818147,2724.058127,,2744.096889,2875.976000,,3125.312862,-518.781303,,-346.416642,-674.024000,,-383.505285
1997,3295.191604,,3062.903890,3590,,3515.594229,2753.800909,,2723.848828,2816.328000,,3058.559357,-541.390695,,-339.055062,-773.672000,,-457.034872
1998,3415.238866,,3139.414193,3420,,3364.587594,2857.617564,,2822.666142,2736.469000,,2959.775746,-557.621302,,-316.748051,-683.531000,,-404.811848
1999,3346.877070,,3040.359181,3430,,3557.274601,2899.049644,,2768.311856,2755.873000,,3172.408039,-447.827426,,-272.047324,-674.127000,,-384.866562
2000,3555.964649,3667.640835,3310.052428,3560,,3649.200911,3013.943297,3222.940805,2978.685594,2761.932000,,3262.526585,-542.021353,-444.700029,-331.366833,-798.068000,,-386.674326
2001,3741.817188,3877.805316,3396.170679,3640,,3728.513481,3238.835735,3438.906955,3083.470639,2930.089000,,3358.154133,-502.981454,-438.898361,-312.700040,-709.911000,,-370.359348
2002,4024.398703,4191.851567,3605.322669,4010,,4103.042690,3432.096929,3663.489544,3247.232451,3214.170000,,3650.118159,-592.301774,-528.362023,-358.090219,-795.830000,,-452.924531
2003,4632.571114,4843.918300,4176.824598,4720,,4841.118690,3902.659739,4122.561080,3695.267850,3716.538000,,4077.756422,-729.911375,-721.357220,-481.556747,-1003.462000,,-763.362268
2004,5347.851198,5580.555857,4837.208779,5430,,5217.350873,4473.895058,4561.169735,4112.809928,4146.432000,,4315.593211,-873.956140,-1019.386122,-724.398851,-1283.568000,,-901.757662
2005,6030.891246,6276.765799,5403.023341,6090,,5882.142859,4756.783506,4924.174226,4449.737118,4529.944000,,4717.783540,-1274.107741,-1352.591574,-953.286223,-1560.056000,,-1164.359319
2006,6651.638987,6931.774495,5913.516370,6730,,6494.338051,5052.992494,5310.413252,4736.925184,4942.527000,,5135.452821,-1598.646493,-1621.361243,-1176.591186,-1787.473000,,-1358.885230
2007,7260.576737,7531.437351,6316.850542,7230,,6983.576721,5484.628423,5790.873660,5079.857637,5331.558000,,5545.422378,-1775.948313,-1740.563691,-1236.992905,-1898.442000,,-1438.154343
2008,7411.241665,7681.642565,6491.462499,7750,,7501.497803,5795.715665,6081.161633,5294.858740,5893.460000,,5969.057469,-1615.526000,-1600.480932,-1196.603759,-1856.540000,,-1532.440335
2009,7886.464811,8236.601594,6795.106770,8160,,7891.089297,6570.279969,7025.856946,5924.134060,6742.241000,,6721.392626,-1316.184842,-1210.744647,-870.972710,-1417.759000,,-1169.696671
2010,8629.048796,8960.483371,7254.454682,8930,9280.791640,8620.626781,7150.015235,7541.894868,6289.287641,7328.749000,7874.179738,7336.800576,-1479.033561,-1418.588502,-965.167041,-1601.251000,-1406.611902,-1283.826204
2011,9464.045941,9793.967541,7956.275837,9820,10144.881477,9532.409054,7863.851772,8347.967450,6960.580141,8080.819000,8659.955634,8137.907955,-1600.194169,-1446.000091,-995.695696,-1739.181000,-1484.925843,-1394.501099
2012,9650.986639,10037.171599,,10100,10462.766360,9779.354357,8098.134210,8653.584207,,8399.219000,9042.871755,8498.250428,-1552.852429,-1383.587392,,-1700.781000,-1419.894605,-1281.103929
2013,10084.704657,10546.765090,,10200,10748.067285,9956.376230,8518.395598,9189.797589,,8638.337000,9337.331686,8724.943975,-1566.309060,-1356.967501,,-1561.663000,-1410.735599,-1231.432254
2014,10168.013306,10528.552986,,10300,10864.628190,9998.674018,8562.169563,9212.067983,,8677.344000,9501.585555,8815.554519,-1605.843743,-1316.485003,,-1622.656000,-1363.042634,-1183.119499
2015,10158.276467,,,10200,10803.925426,9866.951372,8735.468548,,,8714.927000,9681.463510,8868.106184,-1422.807919,,,-1485.073000,-1122.461916,-998.845188
2016,10202.727921,,,10200,10858.582009,9765.029537,9191.135762,,,8914.845000,10016.387793,8865.027756,-1011.592159,,,-1285.155000,-842.194216,-900.001781
2017,10429.941726,,,10400,11107.358857,10011.151673,9512.441349,,,9105.856000,10299.573870,9142.488236,-917.500377,,,-1294.144000,-807.784987,-868.663438
2018,10654.744692,,,10950.300000,11565.169792,10353.934490,9752.221690,,,9567.005000,10851.327193,9615.418067,-902.523001,,,-1383.295000,-713.842599,-738.516423
2019,10984.112150,,,12002.030000,11822.760672,10721.041952,10097.363971,,,10188.160000,11063.149639,9932.761489,-886.748179,,,-1813.870000,-759.611033,-788.280463
2020,12514.018395,,,13296.660000,11240.931128,10914.012165,11348.436511,,,11073.170000,10479.064232,9984.130992,-1165.581884,,,-2223.490000,-761.866896,-929.881172
2021,13053.301727,,,14712.560000,,11332.546412,11936.753159,,,11825.740000,,10320.089041,-1116.548568,,,-2886.820000,,-1012.457371
2022,12660.281012,,,19100.960000,,,11790.703333,,,15098.160000,,,-869.577680,,,-4002.800000,,
