"Year","MDG production Eora 199.082 (2023)","MDG production GCB 2023v26","MDG consumption Eora 199.082 (2023)","MDG consumption GCB 2023v26","MDG net_trade Eora 199.082 (2023)","MDG net_trade GCB 2023v26"
1970,0.891000,,0.414593,,-0.476407,
1971,0.945000,,0.122767,,-0.822233,
1972,1.180000,,-0.122833,,-1.302833,
1973,0.990000,,-0.477374,,-1.467374,
1974,1.100000,,-0.283072,,-1.383072,
1975,1.560000,,0.674018,,-0.885982,
1976,0.911000,,0.367753,,-0.543246,
1977,0.788000,,1.041714,,0.253714,
1978,0.942000,,1.156691,,0.214691,
1979,1.040000,,2.159950,,1.119950,
1980,1.490000,,2.701567,,1.211567,
1981,0.959000,,1.647463,,0.688463,
1982,0.948000,,1.144588,,0.196588,
1983,0.618000,,0.304182,,-0.313818,
1984,0.818000,,0.244199,,-0.573801,
1985,0.991000,,1.550197,,0.559197,
1986,1.070000,,-1.330567,,-2.400567,
1987,1.200000,,-1.300209,,-2.500209,
1988,1.210000,,0.606064,,-0.603936,
1989,0.869000,,1.384013,,0.515013,
1990,0.891000,0.944296,1.471250,1.401695,0.580250,0.457399
1991,0.970000,1.024866,1.479339,1.463636,0.509339,0.438769
1992,0.944000,1.002845,0.783219,1.466450,-0.160781,0.463605
1993,0.969000,1.032120,-2.387260,1.536803,-3.356260,0.504683
1994,1.200000,1.152161,-0.408740,1.656856,-1.608740,0.504694
1995,1.200000,1.192441,1.688072,1.698161,0.488072,0.505720
1996,1.300000,1.245339,1.656283,1.426572,0.356283,0.181233
1997,1.580000,1.535182,2.061521,1.789442,0.481521,0.254260
1998,1.670000,1.619053,2.052262,2.212732,0.382262,0.593678
1999,1.850000,1.762736,2.195514,2.532847,0.345514,0.770111
2000,1.810000,1.947883,2.200098,2.711851,0.390098,0.763967
2001,1.750000,1.743020,2.329291,2.617285,0.579291,0.874265
2002,1.350000,1.235809,1.935284,1.996709,0.585284,0.760900
2003,1.780000,1.692058,2.688342,2.834236,0.908342,1.142179
2004,1.970000,1.804376,2.801686,2.834950,0.831686,1.030574
2005,1.990000,1.741080,2.919075,2.922129,0.929075,1.181049
2006,2.070000,1.674711,3.151889,2.737692,1.081889,1.062981
2007,2.170000,1.735019,3.746318,2.903816,1.576318,1.168797
2008,2.320000,1.779958,4.322934,4.201031,2.002934,2.421073
2009,2.150000,1.706379,3.983154,3.510342,1.833154,1.803963
2010,2.130000,1.871843,3.812312,3.205963,1.682312,1.334120
2011,2.530000,2.373945,4.216007,3.777002,1.686007,1.403058
2012,2.920000,2.744214,4.554943,4.066279,1.634943,1.322065
2013,3.330000,3.207590,4.900980,4.753340,1.570980,1.545750
2014,3.300000,3.157868,4.856322,4.963254,1.556322,1.805386
2015,3.440000,3.227484,4.933906,4.854130,1.493906,1.626646
2016,3.400000,3.267788,4.519526,4.795204,1.119526,1.527416
2017,3.600000,4.118891,4.466048,5.695831,0.866048,1.576940
2018,4.128646,3.791318,5.911597,5.122504,1.782951,1.331185
2019,4.448159,4.256360,6.205324,5.575061,1.757165,1.318701
2020,4.788247,3.963948,6.553675,5.415901,1.765428,1.451953
2021,5.143648,4.260174,6.836469,5.930281,1.692821,1.670107
2022,5.195274,,7.169457,,1.974183,
