"Year","DEU production EXIOBASE 3.8.2","DEU production WIOD2016","DEU production OECDv2","DEU production Eora 199.082 (2023)","DEU production FIGARO April 2022","DEU production GCB 2023v26","DEU production Eurostat NAMEA","DEU consumption EXIOBASE 3.8.2","DEU consumption WIOD2016","DEU consumption OECDv2","DEU consumption Eora 199.082 (2023)","DEU consumption FIGARO April 2022","DEU consumption GCB 2023v26"
1970,,,,1080,,,,,,,1025.947000,,
1971,,,,1090,,,,,,,1041.560000,,
1972,,,,1100,,,,,,,1056.057000,,
1973,,,,1140,,,,,,,1099.499000,,
1974,,,,1120,,,,,,,1065.805000,,
1975,,,,1050,,,,,,,1018.006000,,
1976,,,,1140,,,,,,,1107.544000,,
1977,,,,1100,,,,,,,1088.398000,,
1978,,,,1130,,,,,,,1132.443000,,
1979,,,,1170,,,,,,,1192.461000,,
1980,,,,1150,,,,,,,1157.581000,,
1981,,,,1090,,,,,,,1060.859000,,
1982,,,,1060,,,,,,,1027.890000,,
1983,,,,1050,,,,,,,1014.973000,,
1984,,,,1070,,,,,,,1004.852000,,
1985,,,,1080,,,,,,,1029.283000,,
1986,,,,1080,,,,,,,954.306200,,
1987,,,,1070,,,,,,,954.509800,,
1988,,,,1070,,,,,,,1046.766000,,
1989,,,,1050,,,,,,,1056.675000,,
1990,,,,1060,,1054.740644,,,,,1094.084000,,1194.925875
1991,,,,1020,,1016.870291,,,,,1079.435000,,1144.321530
1992,,,,977,,969.474183,,,,,1049.965000,,1207.437559
1993,,,,967,,959.367198,,,,,973.492300,,1160.422516
1994,,,,950,,943.184837,,,,,1001.982000,,1134.980427
1995,954.174782,,874.192161,950,,939.897145,,1017.785577,,1046.071258,1050.176000,,1140.018204
1996,984.661226,,902.724809,970,,959.653348,,1124.176029,,1057.860390,1059.132000,,1123.902642
1997,956.485439,,871.282982,942,,931.486946,,1072.545037,,1004.405214,998.024500,,1078.258316
1998,950.113553,,865.719443,934,,923.466993,,1084.618491,,1010.124215,1004.985000,,1080.494520
1999,922.561633,,832.043237,907,,895.402128,,1075.266402,,994.576255,982.976200,,1089.646410
2000,916.507877,1010.032541,829.404536,911,,898.938036,,1048.606512,1068.982232,992.603294,961.768800,,1083.652159
2001,931.483268,1036.681378,847.835595,926,,915.242152,,1046.503987,1077.626475,993.598650,956.117300,,1080.182477
2002,925.229536,1041.217809,835.804450,909,,898.834509,,1005.663254,1025.935167,933.625519,936.037500,,1027.003117
2003,934.928510,1045.430330,836.791709,910,,899.858375,,1040.467751,1090.615387,974.065538,965.143200,,1067.265374
2004,931.297806,1019.714485,820.187202,895,,885.632528,,1026.209038,1069.006184,941.153186,948.504600,,1050.723659
2005,920.314733,980.189349,803.555860,875,,865.470707,,1018.891020,1045.090719,925.173714,923.277100,,1049.214966
2006,943.322552,988.849483,816.215077,887,,877.497665,,1051.476741,1063.259289,933.655114,910.826700,,1042.731731
2007,922.828657,960.744700,784.405602,860,,850.229804,,1020.762434,1026.275754,896.492365,875.278400,,1040.366088
2008,932.719733,925.824958,791.189284,862,,852.857863,925.819160,1030.770771,1043.232961,902.678571,868.874300,,1038.431788
2009,869.366510,853.758337,734.757089,796,,788.285820,854.720257,955.431692,969.370202,832.548953,830.245600,,972.580429
2010,915.460246,898.560108,773.193962,842,899.065006,831.129584,898.947061,994.439449,1016.314415,840.875994,834.307700,1018.731724,1022.113094
2011,890.787072,871.377611,745.367816,819,871.078409,807.613932,871.048659,986.969798,1017.331577,829.957206,812.974900,1021.770715,981.790775
2012,895.194136,880.920315,,823,881.082305,812.815530,881.476989,950.536594,973.179353,,811.742600,977.417976,917.210766
2013,912.924554,896.745307,,839,896.616432,833.804367,896.967651,978.364271,989.977435,,821.881600,997.379641,929.136526
2014,876.019171,855.312280,,800,844.155001,794.738546,844.124748,950.693548,951.904857,,803.265100,953.463845,906.148481
2015,889.670902,,,804,858.648911,798.084702,858.627258,935.053614,,,812.619300,929.782336,893.463834
2016,894.272378,,,809,857.631450,801.744547,857.556529,951.105489,,,655.267900,912.342068,909.227045
2017,879.385278,,,805,846.930068,785.985851,846.865015,930.897030,,,654.887700,922.060057,898.094242
2018,851.559085,,,805.572500,823.172038,754.811138,823.743558,941.804471,,,839.711600,931.226139,883.258592
2019,797.342747,,,796.417100,775.622857,707.491365,768.101447,884.671551,,,820.634700,900.664950,841.380213
2020,771.842331,,,789.789500,698.319816,647.252333,673.839299,886.076403,,,855.045500,811.728001,773.277375
2021,777.651010,,,783.653500,,678.798872,707.545909,910.700493,,,826.651700,,830.509666
2022,778.675558,,,765.180400,,,,907.367405,,,832.866500,,
