"Year","IRN production Eora 199.082 (2023)","IRN production GCB 2023v26","IRN consumption Eora 199.082 (2023)","IRN consumption GCB 2023v26"
1970,92.700000,,33.772900,
1971,103,,28.700650,
1972,107,,-23.577350,
1973,131,,-193.563500,
1974,146,,-489.521600,
1975,141,,-420.765500,
1976,159,,-184.514100,
1977,167,,194.689400,
1978,164,,45.119640,
1979,166,,155.416800,
1980,123,,159.157500,
1981,115,,151.592800,
1982,140,,173.838000,
1983,152,,178.543300,
1984,153,,-161.979600,
1985,163,,138.626100,
1986,150,,-709.851900,
1987,161,,-787.751300,
1988,178,,-150.011400,
1989,193,,167.615600,
1990,213,209.943734,210.620900,202.048577
1991,230,221.833928,217.227400,213.099829
1992,232,226.934892,209.967400,218.984308
1993,240,235.606908,190.462400,212.788327
1994,268,263.327397,221.400400,233.304440
1995,276,269.270074,239.515200,247.333992
1996,281,274.926151,242.094100,262.301237
1997,275,267.357084,235.566700,266.271434
1998,313,303.514222,269.885700,305.870033
1999,387,371.973899,323.211000,322.528011
2000,378,364.302372,305.397100,288.278799
2001,404,386.158181,331.743000,311.244644
2002,407,393.409712,339.235300,299.841691
2003,424,407.076745,359.928700,361.140482
2004,453,437.678926,390.289200,386.000174
2005,476,462.002786,408.777600,397.896301
2006,517,496.070465,449.938000,432.723157
2007,530,502.565413,463.983500,487.337581
2008,552,522.557118,493.598800,510.469321
2009,566,536.605204,518.953000,515.720904
2010,584,552.953089,534.148600,480.853605
2011,600,566.288838,556.731400,487.225243
2012,622,588.364778,583.573100,544.770115
2013,631,597.952346,569.206200,507.083849
2014,663,632.673309,582.119200,546.681036
2015,660,631.581185,593.827700,594.160741
2016,669,633.826880,561.090100,553.004575
2017,698,685.401319,573.255000,594.099247
2018,723.388100,710.214811,594.449700,602.082392
2019,733.669000,694.666497,615.304900,621.751014
2020,752.426700,679.007174,638.374900,623.213975
2021,772.319200,687.579174,640.359000,619.007480
2022,797.755400,,637.195900,
