"Year","KOR production EXIOBASE 3.8.2","KOR production WIOD2016","KOR production OECDv2","KOR production Eora 199.082 (2023)","KOR production FIGARO April 2022","KOR production GCB 2023v26","KOR consumption EXIOBASE 3.8.2","KOR consumption WIOD2016","KOR consumption OECDv2","KOR consumption Eora 199.082 (2023)","KOR consumption FIGARO April 2022","KOR consumption GCB 2023v26","KOR net_trade EXIOBASE 3.8.2","KOR net_trade WIOD2016","KOR net_trade OECDv2","KOR net_trade Eora 199.082 (2023)","KOR net_trade FIGARO April 2022","KOR net_trade GCB 2023v26"
1996,434.773465,,383.813251,423,,420.996075,492.410090,,397.165546,408.951000,,490.829138,57.636625,,13.352295,-14.049000,,69.833063
1997,456.931401,,408.052880,449,,444.967619,486.689155,,397.660409,440.633600,,497.886231,29.757754,,-10.392471,-8.366400,,52.918612
1998,392.338302,,351.090563,382,,378.037781,334.425555,,282.132647,359.611600,,360.760744,-57.912747,,-68.957916,-22.388400,,-17.277037
1999,428.544569,,385.408450,414,,410.518806,408.418945,,348.231130,417.829000,,436.197409,-20.125624,,-37.177319,3.829000,,25.678603
2000,484.181486,541.726040,437.825604,448,,439.980692,469.127592,486.987402,411.777524,458.343900,,485.222084,-15.053894,-54.738638,-26.048080,10.343900,,45.241393
2001,498.555150,557.629333,452.213340,464,,455.630633,480.422544,499.904573,425.596602,478.366200,,485.212853,-18.132606,-57.724760,-26.616738,14.366200,,29.582220
2002,490.785169,551.011969,446.305088,485,,476.064880,493.689626,523.940529,434.528722,498.879700,,524.603222,2.904457,-27.071440,-11.776366,13.879700,,48.538342
2003,491.945083,551.311711,449.024293,494,,485.212785,500.778719,535.119742,431.359093,468.809400,,542.451606,8.833636,-16.191969,-17.665200,-25.190600,,57.238821
2004,514.808510,565.634007,469.966899,500,,491.389426,515.927362,548.976574,447.313196,486.630500,,552.782266,1.118852,-16.657433,-22.653703,-13.369500,,61.392841
2005,512.062382,566.460823,469.340563,508,,498.688299,534.630081,581.734104,470.661730,492.532600,,581.335047,22.567699,15.273281,1.321166,-15.467400,,82.646748
2006,522.348671,577.235251,477.391580,511,,503.478183,568.548560,611.094526,497.126601,500.093400,,607.115708,46.199889,33.859275,19.735021,-10.906600,,103.637525
2007,540.847102,585.159359,491.295712,530,,521.708715,592.431042,618.315941,507.263988,516.301400,,632.677023,51.583941,33.156582,15.968276,-13.698600,,110.968308
2008,557.284983,596.508389,502.492974,544,,532.650764,569.807901,585.205764,502.004129,514.876400,,639.029135,12.522918,-11.302626,-0.488845,-29.123600,,106.378372
2009,567.398686,610.279445,516.051025,549,,537.819831,524.511072,536.933288,465.275155,495.646200,,574.750940,-42.887614,-73.346157,-50.775870,-53.353800,,36.931109
2010,617.412930,663.509000,565.067642,600,661.696323,594.339110,583.120740,605.651709,517.441029,542.593000,687.249102,650.526029,-34.292190,-57.857291,-47.626613,-57.407000,25.552779,56.186919
2011,641.871073,682.372615,590.537286,633,680.939886,623.442837,604.117355,636.316842,528.891560,557.649200,728.195549,674.407182,-37.753717,-46.055773,-61.645726,-75.350800,47.255663,50.964345
2012,642.454857,683.843248,,637,681.119075,627.943034,596.688257,615.866161,,564.960000,696.721292,655.563005,-45.766600,-67.977087,,-72.040000,15.602217,27.619971
2013,639.383451,679.447762,,646,681.510097,634.580703,586.042737,612.739348,,570.572000,695.824429,656.717006,-53.340714,-66.708414,,-75.428000,14.314332,22.136303
2014,636.265461,670.005036,,639,675.653488,629.366484,611.593558,611.193974,,561.546700,694.930614,672.960344,-24.671903,-58.811061,,-77.453300,19.277126,43.593860
2015,657.436231,,,652,689.015919,634.177278,613.675665,,,573.039100,703.566070,667.643634,-43.760566,,,-78.960900,14.550151,33.466356
2016,664.336594,,,659,720.267709,637.914084,629.832349,,,584.919400,722.216370,655.759737,-34.504245,,,-74.080600,1.948661,17.845654
2017,674.232917,,,673,728.667500,654.537269,692.689392,,,606.539700,756.040592,689.934623,18.456475,,,-66.460300,27.373092,35.397355
2018,691.989382,,,685.432800,733.367807,670.168699,717.505447,,,622.626700,767.290152,722.207664,25.516065,,,-62.806100,33.922345,52.038965
2019,668.264659,,,688.062700,706.977086,646.102263,695.330528,,,623.869900,749.882498,707.602510,27.065869,,,-64.192800,42.905412,61.500247
2020,671.990500,,,693.059400,657.465272,597.634251,715.886623,,,636.464700,677.826321,659.048098,43.896123,,,-56.594700,20.361049,61.413847
2021,702.905898,,,702.594900,,616.074988,707.762178,,,643.096100,,689.149204,4.856280,,,-59.498800,,73.074216
2022,718.419281,,,626.914800,,,717.032353,,,626.402800,,,-1.386928,,,-0.512000,,
