"Year","ISL production OECDv2","ISL production Eora 199.082 (2023)","ISL production Eurostat NAMEA","ISL consumption OECDv2","ISL consumption Eora 199.082 (2023)"
1970,,1.740000,,,1.195867
1971,,1.810000,,,0.946407
1972,,1.910000,,,0.610403
1973,,2.280000,,,0.865216
1974,,2.230000,,,1.014973
1975,,2.040000,,,1.277378
1976,,2.160000,,,1.713860
1977,,2.360000,,,2.694455
1978,,2.340000,,,2.691815
1979,,2.440000,,,3.153888
1980,,2.230000,,,3.113445
1981,,2.060000,,,3.006590
1982,,1.770000,,,2.389773
1983,,1.740000,,,1.743873
1984,,2.080000,,,1.826823
1985,,1.870000,,,2.839885
1986,,1.970000,,,0.145937
1987,,2,,,0.048710
1988,,2.040000,,,2.098380
1989,,2.070000,,,3.217628
1990,,2.240000,,,3.286542
1991,,2.120000,,,3.314035
1992,,2.270000,,,2.718959
1993,,2.430000,,,-0.731812
1994,,2.370000,,,1.050780
1995,1.967754,2.470000,2.929872,2.365114,3.404803
1996,2.228811,2.520000,3.222262,2.508237,3.447300
1997,2.108702,2.620000,3.337157,2.410628,3.630217
1998,2.100801,2.640000,3.397926,2.968975,3.818681
1999,2.050786,2.850000,3.735182,3.087526,4.007389
2000,2.141238,2.940000,3.909563,3.223539,4.104079
2001,2.090272,2.870000,3.645974,2.862583,3.880846
2002,2.189078,2.990000,3.733977,2.842780,3.986211
2003,2.180955,2.980000,3.788485,3.079049,4.341988
2004,2.252049,3.100000,3.858023,3.320621,4.765973
2005,2.203648,2.970000,3.819730,3.860432,5.092092
2006,2.250587,3.150000,3.973635,4.445944,5.632559
2007,2.355575,3.500000,4.182985,4.238280,5.963627
2008,2.136830,3.800000,4.497220,3.169013,5.463132
2009,2.082721,3.730000,4.286943,2.247095,4.602189
2010,1.950877,3.620000,4.252113,2.278587,4.552169
2011,1.859035,3.490000,4.152160,2.240941,4.566542
2012,,3.490000,4.266871,,4.558156
2013,,3.480000,4.615802,,4.563761
2014,,3.460000,4.582270,,4.435822
2015,,3.540000,4.958167,,4.440925
2016,,3.490000,5.620430,,3.928919
2017,,3.620000,5.997182,,4.090303
2018,,4.115950,6.249954,,5.914041
2019,,4.469161,5.305665,,6.126333
2020,,4.712169,4.071602,,6.572397
2021,,4.900028,4.342011,,6.562696
2022,,4.975207,,,6.626351
