"Year","BHR production Eora 199.082 (2023)","BHR production GCB 2023v26","BHR consumption Eora 199.082 (2023)","BHR consumption GCB 2023v26"
1970,2.920000,,2.259423,
1971,3.310000,,2.321690,
1972,4.140000,,2.673566,
1973,5.960000,,4.278612,
1974,5.880000,,4.496095,
1975,6.240000,,5.381868,
1976,7.080000,,7.213455,
1977,7.990000,,8.897612,
1978,8.310000,,9.159307,
1979,8.700000,,10.003760,
1980,8.460000,,10.369160,
1981,9.120000,,11.052100,
1982,10.500000,,11.710800,
1983,8.910000,,9.647071,
1984,9.920000,,10.042100,
1985,10.700000,,12.526240,
1986,12.100000,,8.123170,
1987,12.500000,,7.807351,
1988,13.300000,,11.908630,
1989,12.800000,,13.042450,
1990,13.600000,11.555729,12.927440,10.972774
1991,13.100000,11.391223,12.664510,11.578039
1992,12.200000,10.492517,11.220860,11.187949
1993,16.300000,16.839962,10.593590,15.606260
1994,16.400000,14.443015,12.462010,14.235518
1995,16.500000,14.823117,14.536470,14.362688
1996,17.200000,16.018645,15.200910,14.792614
1997,19.100000,17.288859,16.676040,14.202906
1998,20.100000,18.366355,17.706680,16.079301
1999,19.900000,18.314831,17.325650,9.601134
2000,20.400000,19.233764,17.100080,11.018747
2001,15.800000,15.374893,13.641990,9.794712
2002,17.600000,15.868013,15.190890,10.874046
2003,18.200000,16.769491,15.650480,8.453538
2004,19.200000,17.883505,15.957320,7.622539
2005,21.300000,19.804053,17.457370,7.978639
2006,21.200000,19.421150,16.565540,7.966353
2007,29.200000,26.771124,21.410120,11.388035
2008,32.100000,29.681318,22.900290,13.452510
2009,30.600000,28.098071,23.048570,17.021490
2010,31.500000,29.075435,23.498390,18.160106
2011,30.900000,28.467646,23.276380,12.517156
2012,28.900000,27.118990,22.333810,12.341086
2013,33.700000,31.157657,26.125860,12.592550
2014,33.800000,30.899729,25.597190,14.472263
2015,27,32.459651,20.954580,18.220997
2016,26.600000,31.559503,16.678820,18.066127
2017,26.600000,32.835184,16.795340,19.530662
2018,30.283520,32.636948,19.753850,19.894491
2019,29.251630,37.583133,19.060550,21.595324
2020,28.345620,37.395950,19.099730,21.845969
2021,27.748350,38.113698,18.596050,18.000117
2022,18.411300,,14.982410,
