"Year","China","USA","India","EU27","Russia","Japan"
1750,0,0,0,0,0,0
1751,0,0,0,0,0,0
1752,0,0,0,0,0,0
1753,0,0,0,0,0,0
1754,0,0,0,0,0,0
1755,0,0,0,0,0,0
1756,0,0,0,0,0,0
1757,0,0,0,0,0,0
1758,0,0,0,0,0,0
1759,0,0,0,0,0,0
1760,0,0,0,0,0,0
1761,0,0,0,0,0,0
1762,0,0,0,0,0,0
1763,0,0,0,0,0,0
1764,0,0,0,0,0,0
1765,0,0,0,0,0,0
1766,0,0,0,0,0,0
1767,0,0,0,0,0,0
1768,0,0,0,0,0,0
1769,0,0,0,0,0,0
1770,0,0,0,0,0,0
1771,0,0,0,0,0,0
1772,0,0,0,0,0,0
1773,0,0,0,0,0,0
1774,0,0,0,0,0,0
1775,0,0,0,0,0,0
1776,0,0,0,0,0,0
1777,0,0,0,0,0,0
1778,0,0,0,0,0,0
1779,0,0,0,0,0,0
1780,0,0,0,0,0,0
1781,0,0,0,0,0,0
1782,0,0,0,0,0,0
1783,0,0,0,0,0,0
1784,0,0,0,0,0,0
1785,0,0,0,0,0,0
1786,0,0,0,0,0,0
1787,0,0,0,0,0,0
1788,0,0,0,0,0,0
1789,0,0,0,0,0,0
1790,0,0,0,0,0,0
1791,0,0,0,0,0,0
1792,0,0,0,0.000128,0,0
1793,0,0,0,0.000131,0,0
1794,0,0,0,0.000121,0,0
1795,0,0,0,0.000122,0,0
1796,0,0,0,0.000146,0,0
1797,0,0,0,0.000150,0,0
1798,0,0,0,0.000157,0,0
1799,0,0,0,0.000171,0,0
1800,0,0.000069,0,0.000328,0,0
1801,0,0.000073,0,0.000267,0,0
1802,0,0.000079,0,0.002631,0,0
1803,0,0.000081,0,0.000272,0,0
1804,0,0.000091,0,0.000994,0,0
1805,0,0.000093,0,0.000440,0,0
1806,0,0.000091,0,0.000398,0,0
1807,0,0.000103,0,0.000883,0,0
1808,0,0.000107,0,0.000382,0,0
1809,0,0.000110,0,0.000383,0,0
1810,0,0.000114,0,0.001001,0,0
1811,0,0.000122,0,0.000974,0,0
1812,0,0.000132,0,0.000978,0,0
1813,0,0.000142,0,0.000906,0,0
1814,0,0.000153,0,0.000949,0,0
1815,0,0.000164,0,0.001081,0,0
1816,0,0.000181,0,0.001518,0,0
1817,0,0.000196,0,0.001852,0,0
1818,0,0.000213,0,0.001866,0,0
1819,0,0.000208,0,0.001868,0,0
1820,0,0.000216,0,0.002010,0,0
1821,0,0.000226,0,0.002110,0,0
1822,0,0.000236,0,0.002204,0,0
1823,0,0.000246,0,0.002394,0,0
1824,0,0.000277,0,0.002299,0,0
1825,0,0.000310,0,0.002736,0,0
1826,0,0.000359,0,0.002717,0,0
1827,0,0.000395,0,0.003339,0,0
1828,0,0.000435,0,0.003398,0,0
1829,0,0.000490,0,0.003070,0,0
1830,0,0.000570,0,0.005224,0.000003,0
1831,0,0.000618,0,0.004495,0.000004,0
1832,0,0.000825,0,0.004498,0.000002,0
1833,0,0.000963,0,0.004848,0.000003,0
1834,0,0.000923,0,0.005339,0,0
1835,0,0.001178,0,0.005690,0,0
1836,0,0.001291,0,0.006435,0,0
1837,0,0.001448,0,0.006983,0,0
1838,0,0.001373,0,0.007409,0,0
1839,0,0.001506,0,0.007716,0,0
1840,0,0.001603,0,0.008747,0,0
1841,0,0.001696,0,0.009417,0,0
1842,0,0.001888,0,0.010136,0,0
1843,0,0.002119,0,0.009806,0,0
1844,0,0.002540,0,0.010528,0,0
1845,0,0.003058,0,0.011986,0,0
1846,0,0.003469,0,0.013446,0,0
1847,0,0.004113,0,0.014642,0,0
1848,0,0.004581,0,0.012984,0,0
1849,0,0.004973,0,0.013409,0,0
1850,0,0.005402,0,0.014790,0.000019,0
1851,0,0.006723,0,0.015638,0,0
1852,0,0.007312,0,0.017545,0,0
1853,0,0.008232,0,0.019427,0,0
1854,0,0.009050,0,0.022467,0,0
1855,0,0.010415,0,0.024788,0.000057,0
1856,0,0.010927,0,0.026309,0,0
1857,0,0.011205,0,0.027416,0,0
1858,0,0.011367,0.000108,0.028894,0.000081,0
1859,0,0.012369,0.000174,0.028384,0.000086,0
1860,0,0.012947,0.000176,0.030746,0.000113,0
1861,0,0.012467,0.000136,0.033802,0.000144,0
1862,0,0.012950,0.000150,0.036593,0.000130,0
1863,0,0.014959,0.000166,0.038070,0.000136,0
1864,0,0.016009,0.000157,0.041184,0.000152,0
1865,0,0.016054,0.000155,0.044711,0.000145,0
1866,0,0.016166,0.000175,0.045941,0.000460,0
1867,0,0.019887,0,0.049260,0.000528,0
1868,0,0.022476,0,0.051679,0.000439,0.000003
1869,0,0.025572,0,0.053861,0.000595,0.000005
1870,0,0.026916,0,0.054074,0.000646,0.000005
1871,0,0.028117,0,0.057746,0.000872,0.000007
1872,0,0.034472,0,0.064163,0.000895,0.000009
1873,0,0.038075,0,0.068695,0.000840,0.000011
1874,0,0.036653,0,0.060104,0.001020,0.000160
1875,0,0.037049,0,0.069573,0.001174,0.000393
1876,0,0.036250,0,0.072693,0.001458,0.000383
1877,0,0.040168,0,0.070929,0.001488,0.000352
1878,0,0.039275,0.000482,0.073283,0.001944,0.000507
1879,0,0.047890,0.000460,0.077581,0.001995,0.000632
1880,0,0.054226,0.000515,0.089754,0.002340,0.000641
1881,0,0.057367,0.000502,0.090102,0.002465,0.000659
1882,0,0.064245,0.000599,0.095239,0.002597,0.000686
1883,0,0.069291,0.000666,0.101706,0.002955,0.000740
1884,0,0.073032,0.000745,0.102714,0.003001,0.000807
1885,0,0.074280,0.000671,0.103981,0.003268,0.000914
1886,0,0.078456,0.000757,0.104469,0.003352,0.000984
1887,0,0.083892,0.000837,0.109433,0.003547,0.001221
1888,0,0.102040,0.000931,0.117733,0.003700,0.001411
1889,0,0.091578,0.001098,0.124061,0.003996,0.001707
