"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,3.124675,0.951474,0.041026,0.132898,0.011720,0.005586
2001,3.135848,0.971937,0.049785,0.108784,0.018201,0.004976
2002,2.982953,0.996992,0.050111,0.120908,0.021898,0.007187
2003,3.315478,1.032923,0.037891,0.126866,0.008639,0.006850
2004,3.632785,1.071693,0.087634,0.133047,0.009855,0.006966
2005,3.348951,1.073588,0.124398,0.111705,0.013730,0.005389
2006,3.411100,1.094444,0.134808,0.098551,0.029682,0.005234
2007,3.502719,1.116891,0.136471,0.110546,0.029170,0.008095
2008,3.907809,1.059166,0.141189,0.126236,0.012743,0.007763
2009,3.928210,1.038766,0.119664,0.123547,0.014594,0.006788
2010,3.886330,1.084488,0.148394,0.129702,0.011420,0.005741
2011,3.789562,1.097210,0.154114,0.122955,0.030427,0.007582
2012,3.698582,1.125336,0.156864,0.122829,0.010054,0.008067
2013,3.699404,1.145223,0.145957,0.132809,0.010831,0.010195
2014,3.746591,1.129238,0.154736,0.129094,0.017507,0.026675
2015,3.515356,1.245974,0.155471,0.113841,0.007077,0.062087
2016,3.780195,1.194694,0.131568,0.138960,0.006014,0.077728
2017,3.718601,1.193392,0.144393,0.130484,0.007435,0.114143
2018,3.528937,1.190764,0.158788,0.105839,0.010506,0.112500
2019,3.761093,1.175622,0.153402,0.120674,0.007032,0.116913
2020,3.656533,0.963962,0.142939,0.089846,0.013851,0.122108
2021,3.509932,1.041010,0.166114,0.111682,0.019010,0.153836
2022,3.313148,1.064270,0.164095,0.090965,0.029096,0.157683
