"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201006,21858,7675,130,0,0,14
201012,15546,4367,115,0,1,20
201106,21448,6938,164,7,14,25
201112,16746,4378,109,14,17,21
201206,21448,6969,177,10,25,27
201212,16957,4336,373,12,51,13
201306,19229,6898,193,8,72,9
201312,15014,4949,153,3,86,10
201406,19119,7623,264,22,90,27
201412,16726,5474,181,34,222,11
201506,18034,7359,223,13,36,16
201512,14833,5662,245,12,37,3
201606,18152,9673,377,36,71,6
201612,14561,7227,305,72,74,7
201706,15603,12407,469,277,188,2
201712,12858,9961,394,410,198,8
201806,14320,15192,531,394,210,8
201812,10441,10619,554,319,220,3
201906,13279,15866,1050,376,549,3
201912,9743,11971,1195,537,437,2
202006,7939,9794,1551,801,701,7
202012,8689,9795,2246,1884,1772,10
202106,7023,9858,3923,2402,2071,10
202112,4171,6981,3301,2042,2578,12
202206,5053,7771,3766,2002,3209,11
202212,4183,6788,4262,1852,3182,15
202306,4403,9380,4863,2547,5284,17
202312,3079,6927,4611,2259,5764,21
202406,3374,7948,5274,2009,6436,44
202412,2375,5835,5142,1811,6341,46
202506,2214,5397,6065,1786,5621,10
