"Year","Coal","Oil","Gas","Cement"
1959,3.729952,42.575680,1.472928,1.170239
1960,3.905824,41.190688,2.363280,1.304708
1961,3.539424,42.121344,4.030400,1.435542
1962,2.007872,45.078192,5.107616,1.446445
1963,2.304656,40.644752,5.829424,1.253828
1964,2.557304,45.207121,6.466534,1.439082
1965,2.601440,47.324224,7.247392,1.631794
1966,2.586784,48.569984,7.848288,1.722651
1967,2.938857,49.777346,8.208278,1.755556
1968,2.366944,52.560080,9.141680,2.064273
1969,2.590448,60.573248,9.105040,2.147862
1970,3.286608,63.925808,10.281184,2.344113
1971,2.927536,69.319216,11.021312,2.735862
1972,2.857920,69.297232,12.468592,2.698682
1973,2.879904,71.209840,14.187008,2.570273
1974,3.367216,71.451664,14.923472,2.675163
1975,3.594384,68.912512,15.722224,2.714505
1976,3.239095,71.868337,16.466621,2.841803
1977,2.703934,72.702107,16.905081,2.987349
1978,3.832544,72.898944,16.425712,3.148176
1979,3.601712,79.072784,18.015888,3.327567
1980,2.865248,76.507984,19.565760,3.562416
1981,2.956848,70.059344,20.485424,3.323488
1982,2.660158,69.032208,23.248904,2.815495
1983,2.191072,68.674352,26.263552,2.818326
1984,2.147178,67.236715,27.301404,2.618511
1985,2.773547,60.435477,28.808982,2.325716
1986,3.392864,62.200064,30.964464,2.790162
1987,3.777584,66.453968,36.698624,3.170394
1988,4.023193,66.232463,42.232539,3.047859
1989,4.143984,59.752512,44.609200,2.253900
1990,3.070432,59.188256,43.213216,1.822000
1991,2.689376,61.232768,47.283920,2.196000
1992,2.802960,63.632688,48.302512,2.495000
1993,2.301136,67.154325,40.808519,2.761000
1994,3.561301,67.203064,42.676987,3.050000
1995,3.700747,62.835745,53.195483,2.621000
1996,3.099659,65.920890,57.541551,2.422000
1997,2.777312,66.868000,61.503904,3.169000
1998,2.839600,69.575696,61.613824,3.283000
1999,2.154486,72.724888,67.620808,3.290000
2000,1.656171,67.433997,69.438256,2.771000
2001,1.289728,64.336176,64.808832,2.481000
2002,1.099232,57.497185,62.619608,1.729000
2003,1.989552,59.356800,69.070064,2.280000
2004,2.198349,67.811726,82.910717,2.701000
2005,3.268288,71.799744,81.967344,3.241000
2006,3.865520,81.912384,83.868960,3.764000
2007,3.660336,77.951600,87.177552,3.998000
2008,3.876512,88.657808,90.119744,3.990000
2009,3.231648,82.381376,87.994624,3.810000
2010,3.990096,90.145392,86.928400,4.178000
2011,4.722987,86.908092,92.587402,4.586000
2012,5.008688,85.587376,95.381248,4.184000
2013,4.840051,87.487304,91.338094,4.581000
2014,5.536412,84.291958,92.843900,4.336000
2015,5.466688,86.954048,93.534592,4.571000
2016,4.191696,84.555750,96.302759,4.029000
2017,4.279469,80.855575,96.441927,4.362090
2018,4.356408,74.392351,96.123096,4.368692
2019,2.143440,74.848192,95.608416,4.140926
2020,2.642460,70.912696,90.212510,3.508472
2021,4.816141,80.308990,94.327529,4.670734
