"Year","Coal","Oil","Gas","Cement","Flaring"
2000,8.189040,55.392352,36.368864,3.989256,1.480256
2001,8.042480,55.088240,37.856448,4.413511,1.725744
2002,10.079664,53.659280,44.770416,4.394515,0
2003,13.194064,44.213488,54.912368,5.171068,0
2004,16.905696,46.334944,60.778432,5.604469,0
2005,16.191216,48.364800,63.497120,6.639177,0
2006,17.689344,54.218498,63.755649,7.887227,0
2007,23.108848,57.876544,64.951728,9.465100,0
2008,18.909904,58.928112,65.754144,10.329525,0
2009,18.510528,58.308896,66.988912,11.610528,0
2010,17.425984,62.145104,63.123392,11.214177,0
2011,17.165840,60.503632,65.959328,11.022090,0
2012,14.696304,63.618032,64.178624,11.390764,1.001871
2013,13.659392,61.042240,63.720624,11.961540,1.140803
2014,18.843952,60.423024,64.200608,12.197857,0.863898
2015,18.026880,70.400096,64.405792,12.681741,0.896252
2016,23.954783,86.597018,70.296187,14.128052,0.815450
2017,40.978871,85.453257,74.292523,14.751988,0.681782
2018,46.880880,66.241456,75.782512,15.581232,0.574848
2019,50.306720,64.878448,74.976432,15.436983,0.462649
2020,57.210218,65.651413,69.423341,17.644992,0.453964
2021,59.956542,74.983687,75.509501,18.620774,0.441781
